ID,Adoption,Died,Euthanasia,Return_to_owner,Transfer
1,0.0384440203641,0.00449317196895,0.0386297853446,0.211873223145,0.706559799178
2,0.5394957008,0.00165519067649,0.0250897445648,0.274907434757,0.158851929201
3,0.535828811618,0.00202472881213,0.0119732771923,0.100435496804,0.349737685574
4,0.0574011351649,0.00478291766804,0.0467573687547,0.194090562199,0.696968016213
5,0.464535191801,0.00167960985649,0.0335364704147,0.328236746308,0.17201198162
6,0.395740589561,0.00167102792732,0.0448489818429,0.399408412207,0.158330988462
7,0.381203453922,0.00502563328456,0.124126000157,0.310945573944,0.178699338692
8,0.735662855446,0.00166079013394,0.00443953763217,0.0333884768079,0.22484833998
9,0.748545535405,0.000651303166996,0.0042647931138,0.0985446371797,0.147993731134
10,0.597208417603,0.000836526259511,0.0174687934555,0.227707803963,0.156778458719
11,0.719809283022,0.000699912116732,0.00779644727097,0.123837640914,0.147856716677
12,0.0412052557359,0.00699505723367,0.109600213098,0.310925138314,0.531274335618
13,0.646272361296,0.00076080037491,0.00514167523581,0.136249213975,0.211575949119
14,0.554766430747,0.00221350752655,0.0394079484397,0.0509534565112,0.352658656775
15,0.554253302849,0.00153281459057,0.0199841125127,0.254506992138,0.16972277791
16,0.693093807539,0.000706618354136,0.00451770142883,0.136077737394,0.165604135284
17,0.343492643702,0.00112265967776,0.0452892038592,0.449004634257,0.161090858504
18,0.395740589561,0.00167102792732,0.0448489818429,0.399408412207,0.158330988462
19,0.516769703672,0.00490588763626,0.0235868656662,0.13217058086,0.322566962166
20,0.010789522932,0.0122760314782,0.246425571299,0.00901967680739,0.721489197484
21,0.518079831805,0.0021815424775,0.0140829999016,0.122926755618,0.342728870199
22,0.51018410467,0.00145250206498,0.00894463375781,0.00289097630491,0.476527783202
23,0.554253302849,0.00153281459057,0.0199841125127,0.254506992138,0.16972277791
24,0.0246682064586,0.0137254190197,0.0536007490511,0.00235511836868,0.905650507102
25,0.597208417603,0.000836526259511,0.0174687934555,0.227707803963,0.156778458719
26,0.360610379246,0.0029008653509,0.0556024841651,0.0211248649514,0.559761406286
27,0.857082001478,0.00131530715586,0.00386828364904,0.0187075794601,0.119026828257
28,0.0246026700692,0.00912628729793,0.0775716785858,0.0226977986199,0.866001565427
29,0.395740589561,0.00167102792732,0.0448489818429,0.399408412207,0.158330988462
30,0.464535191801,0.00167960985649,0.0335364704147,0.328236746308,0.17201198162
31,0.431551953766,0.00254301748871,0.0420060443561,0.0952814003253,0.428617584064
32,0.802273714907,0.000570895176032,0.00396884199055,0.0882060669715,0.104980480955
33,0.288849707942,0.0115709097648,0.0791501199474,0.0387981110842,0.581631151262
